"Description","Date","Distance","Average Moving Speed","Max Speed"
"West Didsbury to Altrincham ","14/03/2012 07:49",6.49,12.64,20.15
"Altrincham to West Didsbury ","14/03/2012 18:06",6.39,13.58,24.21
"West Didsbury to Altrincham ","15/03/2012 07:55",6.44,12.56,21.69
"Altrincham to West Didsbury ","15/03/2012 17:45",6.38,13.23,22.67
"West Didsbury to Altrincham ","16/03/2012 07:52",6.36,12.65,20.43
"Altrincham to West Didsbury ","16/03/2012 18:22",6.42,14.07,23.51
"West Didsbury to Altrincham ","19/03/2012 07:53",6.53,12.75,18.75
"Altrincham to West Didsbury ","19/03/2012 17:45",6.34,14.12,24.63
"Altrincham to West Didsbury ","20/03/2012 18:18",6.37,13.73,23.23
"West Didsbury to Altrincham ","21/03/2012 07:54",6.43,12.1,18.47
"Altrincham to West Didsbury ","21/03/2012 17:52",6.41,13.3,23.23
"West Didsbury to Altrincham ","23/03/2012 07:03",6.43,13.9,22.95
"Altrincham to West Didsbury ","23/03/2012 16:55",6.07,14.06,23.51
"West Didsbury to Altrincham ","27/03/2012 07:51",6.4,13.29,21.83
"West Didsbury to Altrincham ","28/03/2012 06:57",6.48,13.21,19.31
"West Didsbury to Altrincham ","29/03/2012 07:58",6.41,12.55,19.45
"Altrincham to West Didsbury ","29/03/2012 17:46",7.86,13.22,22.11
"West Didsbury to Altrincham ","30/03/2012 07:54",6.49,12.09,19.73
"West Didsbury to Altrincham ",2/4/2012 7:55:00,6.45,12.73,18.19
"Altrincham to West Didsbury ",2/4/2012 17:53:00,6.37,13.81,22.39
"West Didsbury to Altrincham ",3/4/2012 7:54:00,6.44,13.15,20.01
"Altrincham to West Didsbury ",3/4/2012 17:42:00,6.95,14.56,28.68
"West Didsbury to Altrincham ",4/4/2012 7:54:00,6.53,14.48,23.37
"Altrincham to West Didsbury ",4/4/2012 17:40:00,5.96,11.58,20.85
"West Didsbury to Altrincham ",5/4/2012 7:50:00,6.39,13.18,21.69
"West Didsbury to Altrincham ",10/4/2012 7:10:00,6.42,13.23,18.75
"Altrincham to West Didsbury ",10/4/2012 17:45:00,6.37,15.27,27.28
"West Didsbury to Altrincham ",11/4/2012 7:52:00,6.39,13.16,21.13
"Altrincham to West Didsbury ",11/4/2012 17:42:00,6.01,15.26,22.81
"West Didsbury to Altrincham ","13/04/2012 07:53",6.38,14.1,22.11
"Altrincham to West Didsbury ","13/04/2012 17:40",6.38,13.91,22.53
"West Didsbury to Altrincham ","16/04/2012 07:54",6.38,13.75,18.89
"Altrincham to West Didsbury ","16/04/2012 17:47",6.34,15.66,24.63
"West Didsbury to Altrincham ","17/04/2012 07:49",6.4,12.6,19.59
"Altrincham to West Didsbury ","17/04/2012 17:51",6.37,15.17,28.54
"West Didsbury to Altrincham ","18/04/2012 07:51",6.47,13.71,20.85
"Altrincham to West Didsbury ","18/04/2012 18:04",6.32,13.49,26.17
"West Didsbury to Altrincham ","19/04/2012 07:50",6.42,13.49,23.23
"Altrincham to West Didsbury ","19/04/2012 17:45",6.4,13.19,23.79
"West Didsbury to Altrincham ","20/04/2012 07:47",6.37,13.48,19.17
"Altrincham to West Didsbury ","20/04/2012 17:40",6.35,15.11,24.07
"West Didsbury to Altrincham ","23/04/2012 07:52",6.41,14.33,22.81
"Altrincham to West Didsbury ","23/04/2012 17:44",6.39,13.44,21.83
"West Didsbury to Altrincham ","24/04/2012 07:50",6.4,14.25,19.73
"Altrincham to West Didsbury ","24/04/2012 17:44",6.38,14.93,29.52
"West Didsbury to Altrincham ","25/04/2012 07:52",6.4,15.06,26.17
"Altrincham to West Didsbury ","25/04/2012 17:53",6.41,12.86,23.37
"West Didsbury to Altrincham ","26/04/2012 07:50",6.37,14.17,21.27
"Altrincham to West Didsbury ","26/04/2012 17:45",6.37,13.91,21.69
"West Didsbury to Altrincham ","27/04/2012 07:18",6.41,14.19,21.13
"West Didsbury to Altrincham ","30/04/2012 07:53",6.5,13.97,22.95
"Altrincham to West Didsbury ","30/04/2012 17:47",6.33,13.25,23.51
"West Didsbury to Altrincham ",1/5/2012 7:54:00,6.43,14.67,24.21
"Altrincham to West Didsbury ",1/5/2012 17:44:00,6.54,12.4,20.85
"Altrincham to West Didsbury ",2/5/2012 18:04:00,6.35,13.1,21.69
"West Didsbury to Altrincham ",3/5/2012 7:54:00,6.37,15.32,23.93
"Altrincham to West Didsbury ",3/5/2012 17:44:00,6.33,13.78,23.51
"West Didsbury to Altrincham ",4/5/2012 7:49:00,6.43,15.2,22.25
"Altrincham to West Didsbury ",4/5/2012 18:11:00,6.4,13.22,22.11
"West Didsbury to Altrincham ",8/5/2012 7:57:00,6.36,13.65,19.45
"Altrincham to West Didsbury ",8/5/2012 17:41:00,6.4,15.47,23.37
"West Didsbury to Altrincham ",9/5/2012 7:50:00,6.51,13.78,20.57
"Altrincham to West Didsbury ",9/5/2012 18:00:00,6.62,13.89,25.25
"West Didsbury to Altrincham ",10/5/2012 7:52:00,6.55,13.5,20.85
"Altrincham to West Didsbury ",10/5/2012 17:42:00,6.35,14.93,23.93
"West Didsbury to Altrincham ",11/5/2012 7:50:00,6.42,12.52,19.87
"Altrincham to West Didsbury ",11/5/2012 17:44:00,6.33,14.74,22.39
"Altrincham to West Didsbury ","14/05/2012 17:37",6.37,16.22,23.65
"Altrincham to West Didsbury ","15/05/2012 18:26",6.35,13.65,23.51
"Altrincham to West Didsbury ","16/05/2012 17:45",6.4,14.51,25.89
"West Didsbury to Altrincham ","18/05/2012 07:48",6.54,15,21.69
"Altrincham to West Didsbury ","18/05/2012 17:44",6.37,13.48,20.29
"West Didsbury to Altrincham ","21/05/2012 07:49",6.37,14.32,24.49
"Altrincham to West Didsbury ","21/05/2012 17:57",6.36,15.18,25.33
"West Didsbury to Altrincham ","22/05/2012 07:47",6.36,14.38,24.07
"West Didsbury to Altrincham ","24/05/2012 07:51",6.44,14.06,20.29
"West Didsbury to Altrincham ","31/05/2012 07:51",6.44,15.27,21.97
"West Didsbury to Altrincham ",11/6/2012 7:47:00,6.4,15.08,22.95
"Altrincham to West Didsbury ",11/6/2012 17:38:00,6.46,14.56,27
"West Didsbury to Altrincham ",12/6/2012 7:50:00,6.46,15.01,23.09
"West Didsbury to Altrincham ","13/06/2012 07:53",6.36,15.47,24.49
"Altrincham to West Didsbury ","13/06/2012 17:42",6.61,14.52,35.26
"West Didsbury to Altrincham ","14/06/2012 07:53",6.37,15.01,21.13
"West Didsbury to Altrincham ","18/06/2012 07:51",6.41,15.39,20.71
"Altrincham to West Didsbury ","18/06/2012 17:45",6.46,14.62,21.69
"Altrincham to West Didsbury ","19/06/2012 17:42",6.37,14.64,21.83
"West Didsbury to Altrincham ","20/06/2012 07:51",6.51,15.04,24.49
"West Didsbury to Altrincham ","21/06/2012 07:54",6.51,14.94,21.41
"Altrincham to West Didsbury ","21/06/2012 17:42",6.35,14.7,30.22
"West Didsbury to Altrincham ","25/06/2012 07:50",6.42,13.67,19.59
"Altrincham to West Didsbury ","25/06/2012 17:39",6.36,15.07,26.17
"West Didsbury to Altrincham ","26/06/2012 07:50",6.43,14.67,22.81
"Altrincham to West Didsbury ","26/06/2012 17:47",6.32,14.7,24.21
"West Didsbury to Altrincham ","27/06/2012 07:53",6.52,14.11,22.81
"Altrincham to West Didsbury ","27/06/2012 17:49",6.38,14.85,28.12
"West Didsbury to Altrincham ","28/06/2012 07:49",6.45,15.93,23.37
"Altrincham to West Didsbury ","28/06/2012 17:55",6.33,15.3,25.47
"West Didsbury to Altrincham ","29/06/2012 07:52",6.42,14.3,20.57
"Altrincham to West Didsbury ","29/06/2012 17:50",6.34,15.6,24.77
"West Didsbury to Altrincham ",2/7/2012 7:51:00,6.41,15.08,20.43
"Altrincham to West Didsbury ",2/7/2012 17:44:00,6.49,14.93,23.79
